,index,Datum,Periode,Locatie,Site,Transect,Soortengroep,Aantal,Genus,Lat,Lon,Nauwkeurigheid,Meettoestel,Jaar,geometry,Mowing state,mow_shape_key,Group name,Afstand_rand
2724,2724,2020-08-06,p5,Waarmaarde,blok,V,Bijen,1,Apis,50.79336897,3.49197647,3,GPS,2020,POINT (88183.77414497844 165131.42050862592),after,,Apis,
2725,2725,2020-08-06,p5,Waarmaarde,blok,V,Bijen,1,Apis,50.79338933,3.49210094,3,GPS,2020,POINT (88192.5760998994 165133.581644224),after,,Apis,
2726,2726,2020-08-06,p5,Waarmaarde,blok,V,Bijen,1,Apis,50.79344893,3.49232339,3,GPS,2020,POINT (88208.33719275004 165140.026035876),after,,Apis,
2727,2727,2020-08-06,p5,Waarmaarde,blok,V,Dagvlinders,1,Pieris,50.79326813,3.49238165,3,GPS,2020,POINT (88212.2073789768 165119.86695498507),after,,Butterflies,
2728,2728,2020-08-06,p5,Waarmaarde,blok,V,Bijen,1,Apis,50.79345505,3.49253923,3,GPS,2020,POINT (88223.56209160687 165140.52731460705),after,,Apis,
2729,2729,2020-08-06,p5,Waarmaarde,blok,V,Bijen,1,Colletes,50.79355781,3.49251542,3,GPS,2020,POINT (88222.01825642805 165151.97724823188),after,,Other bees,
2730,2730,2020-08-06,p5,Waarmaarde,blok,V,Bijen,1,Apis,50.79350115,3.49249757,3,GPS,2020,POINT (88220.68550150699 165145.68971660454),after,,Apis,
2731,2731,2020-08-06,p5,Waarmaarde,blok,V,Dagvlinders,1,Maniola,50.79328121,3.49212868,3,GPS,2020,POINT (88194.3899122711 165121.5322334543),after,,Butterflies,
2732,2732,2020-08-06,p5,Waarmaarde,blok,V,Bijen,1,Lasioglossum,50.79345161,3.49254786,3,GPS,2020,POINT (88224.16600065507 165140.1375041902),after,,Other bees,
2759,2759,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Dasypoda,50.79401714,3.49376684,3,GPS,2020,POINT (88310.84567638562 165202.02955213934),after,,Other bees,
2760,2760,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Apis,50.79415334,3.49385862,3,GPS,2020,POINT (88317.49452849335 165217.10308711976),after,,Apis,
2761,2761,2020-08-06,p5,Waarmaarde,sinus,V,Dagvlinders,1,Lycaena,50.79415334,3.49385862,3,GPS,2020,POINT (88317.49452849335 165217.10308711976),after,,Butterflies,
2762,2762,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Colletes,50.79415334,3.49385862,3,GPS,2020,POINT (88317.49452849335 165217.10308711976),after,,Other bees,
2763,2763,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Lasioglossum,50.79418059,3.49418627,3,GPS,2020,POINT (88340.62941845774 165219.86222283822),after,,Other bees,
2764,2764,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Lasioglossum,50.79427371,3.49422282,3,GPS,2020,POINT (88343.32808360085 165230.1897690855),after,,Other bees,
2765,2765,2020-08-06,p5,Waarmaarde,sinus,V,Dagvlinders,1,Papilio,50.79419207,3.49437327,3,GPS,2020,POINT (88353.82787472919 165220.984011787),after,,Butterflies,
2766,2766,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Bombus,50.79410481,3.4945399,3,GPS,2020,POINT (88365.4610341354 165211.13973473758),after,,Bombus,
2767,2767,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Lasioglossum,50.7940308,3.49458726,3,GPS,2020,POINT (88368.70305562305 165202.86821402516),after,,Other bees,
2768,2768,2020-08-06,p5,Waarmaarde,sinus,V,Dagvlinders,1,Pieris,50.7940474,3.4944125,3,GPS,2020,POINT (88356.40422748993 165204.85961315315),after,,Butterflies,
2769,2769,2020-08-06,p5,Waarmaarde,sinus,V,Dagvlinders,1,Maniola,50.79398504,3.49425534,3,GPS,2020,POINT (88345.2428418807 165198.05360298697),after,,Butterflies,
2770,2770,2020-08-06,p5,Waarmaarde,sinus,V,Dagvlinders,1,Lycaena,50.79383609,3.49434234,3,GPS,2020,POINT (88351.18137058165 165181.4134985488),after,,Butterflies,
2771,2771,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Bombus,50.79383609,3.49434234,3,GPS,2020,POINT (88351.18137058165 165181.4134985488),after,,Bombus,
2772,2772,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Bombus,50.79383609,3.49434234,3,GPS,2020,POINT (88351.18137058165 165181.4134985488),after,,Bombus,
2773,2773,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Apis,50.79383609,3.49434234,3,GPS,2020,POINT (88351.18137058165 165181.4134985488),after,,Apis,
2774,2774,2020-08-06,p5,Waarmaarde,sinus,V,Dagvlinders,1,Maniola,50.79382159,3.49418384,3,GPS,2020,POINT (88339.98811499865 165179.93214868754),after,,Butterflies,
2775,2775,2020-08-06,p5,Waarmaarde,sinus,V,Dagvlinders,1,Aricia,50.79397213,3.4940266,3,GPS,2020,POINT (88329.09978610494 165196.80741455127),after,,Butterflies,
2776,2776,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Apis,50.79404555,3.49411352,3,GPS,2020,POINT (88335.32376711772 165204.90189501643),after,,Apis,
2777,2777,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Apis,50.7940562,3.49396206,3,GPS,2020,POINT (88324.65980942716 165206.21220683027),after,,Apis,
2778,2778,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Lasioglossum,50.79412015,3.4940302,3,GPS,2020,POINT (88329.54740219348 165213.268905852),after,,Other bees,
2779,2779,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Hylaeus,50.79385344,3.49412735,3,GPS,2020,POINT (88336.04726026155 165183.5217452282),after,,Other bees,
2780,2780,2020-08-06,p5,Waarmaarde,sinus,V,Dagvlinders,1,Pyronia,50.79387842,3.49392157,3,GPS,2020,POINT (88321.57245934827 165186.4710870888),after,,Butterflies,
2781,2781,2020-08-06,p5,Waarmaarde,sinus,V,Dagvlinders,1,Maniola,50.79404715,3.49365192,3,GPS,2020,POINT (88302.78314367055 165205.46301587857),after,,Butterflies,
2782,2782,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Hylaeus,50.79416139,3.49387606,3,GPS,2020,POINT (88318.73458509908 165217.98402400874),after,,Other bees,
2783,2783,2020-08-06,p5,Waarmaarde,sinus,V,Bijen,1,Apis,50.79416139,3.49387606,3,GPS,2020,POINT (88318.73458509908 165217.98402400874),after,,Apis,
2794,2794,2020-08-07,p5,Waarmaarde2,blok,V,Dagvlinders,1,Maniola,50.78065236,3.46919387,3,GPS,2020,POINT (86560.4610174277 163736.14039302152),after,,Butterflies,
2795,2795,2020-08-07,p5,Waarmaarde2,blok,V,Bijen,1,Apis,50.78046318,3.46927425,3,GPS,2020,POINT (86565.8746577545 163715.02916505095),after,,Apis,
2796,2796,2020-08-07,p5,Waarmaarde2,blok,V,Bijen,1,Apis,50.78030686,3.46929613,3,GPS,2020,POINT (86567.2071574141 163697.62291798647),after,,Apis,
2797,2797,2020-08-07,p5,Waarmaarde2,blok,V,Bijen,1,Nomada,50.78032295,3.4693667,3,GPS,2020,POINT (86572.20542535988 163699.35237933788),after,,Other bees,
2798,2798,2020-08-07,p5,Waarmaarde2,blok,V,Dagvlinders,1,Pyronia,50.78034743,3.46946293,3,GPS,2020,POINT (86579.02452977822 163701.99316961784),after,,Butterflies,
2799,2799,2020-08-07,p5,Waarmaarde2,blok,V,Dagvlinders,1,Pyronia,50.78022983,3.46928171,3,GPS,2020,POINT (86566.08653919504 163689.06713387556),after,,Butterflies,
2800,2800,2020-08-07,p5,Waarmaarde2,blok,V,Dagvlinders,1,Maniola,50.78017451,3.46901257,3,GPS,2020,POINT (86547.0322129275 163683.14364478737),after,,Butterflies,
2801,2801,2020-08-07,p5,Waarmaarde2,blok,V,Dagvlinders,1,Pieris,50.78030175,3.46873202,3,GPS,2020,POINT (86527.41916556448 163697.53622894548),after,,Butterflies,
2802,2802,2020-08-07,p5,Waarmaarde2,blok,V,Bijen,1,Sphecodes,50.78030921,3.4687389,3,GPS,2020,POINT (86527.91439472314 163698.36013249122),after,,Other bees,
2803,2803,2020-08-07,p5,Waarmaarde2,blok,V,Bijen,1,Sphecodes,50.78036545,3.46869933,3,GPS,2020,POINT (86525.19968778567 163704.64954171423),after,,Other bees,
2804,2804,2020-08-07,p5,Waarmaarde2,blok,V,Dagvlinders,1,Aricia,50.78052739,3.4688466,3,GPS,2020,POINT (86535.80332478299 163722.53643698804),after,,Butterflies,
2826,2826,2020-08-07,p5,Waarmaarde2,sinus,V,Dagvlinders,1,Maniola,50.7815618,3.47124475,3,GPS,2020,POINT (86706.31014901002 163835.54910428263),after,,Butterflies,
2827,2827,2020-08-07,p5,Waarmaarde2,sinus,V,Dagvlinders,1,Aricia,50.78143406,3.47109421,3,GPS,2020,POINT (86695.52267850154 163821.46873378567),after,,Butterflies,
2828,2828,2020-08-07,p5,Waarmaarde2,sinus,V,Bijen,1,Heriades,50.7810329,3.47101509,3,GPS,2020,POINT (86689.40415278985 163776.91484582145),after,,Other bees,
2829,2829,2020-08-07,p5,Waarmaarde2,sinus,V,Dagvlinders,1,Maniola,50.78113315,3.47119404,3,GPS,2020,POINT (86702.15823434631 163787.91327048838),after,,Butterflies,
2830,2830,2020-08-07,p5,Waarmaarde2,sinus,V,Bijen,1,Nomada,50.78133381,3.4716149,3,GPS,2020,POINT (86732.1063042333 163809.87440340407),after,,Other bees,
2831,2831,2020-08-07,p5,Waarmaarde2,sinus,V,Dagvlinders,1,Maniola,50.78128955,3.47161456,3,GPS,2020,POINT (86732.02288814548 163804.95162298158),after,,Butterflies,
2832,2832,2020-08-07,p5,Waarmaarde2,sinus,V,Dagvlinders,1,Pieris,50.78145082,3.47142639,3,GPS,2020,POINT (86718.97001386566 163823.05002351012),after,,Butterflies,
2833,2833,2020-08-07,p5,Waarmaarde2,sinus,V,Dagvlinders,1,Polyommatus,50.78152148,3.47116982,3,GPS,2020,POINT (86700.97203975316 163831.12810903415),after,,Butterflies,
2834,2834,2020-08-07,p5,Waarmaarde2,sinus,V,Bijen,1,Heriades,50.78151377,3.47110955,3,GPS,2020,POINT (86696.71153994711 163830.32186268736),after,,Other bees,
2835,2835,2020-08-07,p5,Waarmaarde2,sinus,V,Bijen,1,Chelestoma,50.78146398,3.471044,3,GPS,2020,POINT (86692.02215383979 163824.8395313546),after,,Other bees,
2836,2836,2020-08-07,p5,Waarmaarde2,sinus,V,Dagvlinders,1,Aricia,50.78145635,3.47094694,3,GPS,2020,POINT (86685.16738214872 163824.07353717275),after,,Butterflies,
2837,2837,2020-08-07,p5,Waarmaarde2,sinus,V,Dagvlinders,1,Pieris,50.78132166,3.47076799,3,GPS,2020,POINT (86672.36705513086 163809.24436884932),after,,Butterflies,
2838,2838,2020-08-07,p5,Waarmaarde2,sinus,V,Dagvlinders,1,Maniola,50.78121227,3.47082892,3,GPS,2020,POINT (86676.51671892138 163797.02492207196),after,,Butterflies,
2945,2945,2020-09-01,p6,Waarmaarde2,sinus,V,Dagvlinders,1,Lycaena,50.78156121,3.47128406,3,GPS,2020,POINT (86709.0814295628 163835.44999587536),,,Butterflies,
2946,2946,2020-09-01,p6,Waarmaarde2,sinus,V,Dagvlinders,1,Pieris,50.78155124,3.47128071,3,GPS,2020,POINT (86708.83179897774 163834.34387929086),,,Butterflies,
2947,2947,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Bombus,50.78151058,3.47120988,3,GPS,2020,POINT (86703.78235907864 163829.88157065306),,,Bombus,
2948,2948,2020-09-01,p6,Waarmaarde2,sinus,V,Dagvlinders,1,Pieris,50.78149667,3.47108994,3,GPS,2020,POINT (86695.30569710679 163828.43652403262),,,Butterflies,
2949,2949,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Sphecodes,50.78150279,3.47109027,3,GPS,2020,POINT (86695.3371919379 163829.11697463598),,,Other bees,
2950,2950,2020-09-01,p6,Waarmaarde2,sinus,V,Dagvlinders,1,Aricia,50.78143573,3.47105607,3,GPS,2020,POINT (86692.8353486196 163821.68698170874),,,Butterflies,
2951,2951,2020-09-01,p6,Waarmaarde2,sinus,V,Dagvlinders,1,Polyommatus,50.78141604,3.47105943,3,GPS,2020,POINT (86693.04583122116 163819.49398720358),,,Butterflies,
2952,2952,2020-09-01,p6,Waarmaarde2,sinus,V,Dagvlinders,1,Polyommatus,50.7812774,3.47081191,3,GPS,2020,POINT (86675.40474013615 163804.28387074918),,,Butterflies,
2953,2953,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Bombus,50.7812774,3.47081191,3,GPS,2020,POINT (86675.40474013615 163804.28387074918),,,Bombus,
2954,2954,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Halictus,50.78132912,3.47111207,3,GPS,2020,POINT (86696.64112814472 163809.78097191732),,,Other bees,
2955,2955,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Bombus,50.78110163,3.47101852,3,GPS,2020,POINT (86689.73839670877 163784.5568068996),,,Bombus,
2956,2956,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Bombus,50.78106718,3.47100469,3,GPS,2020,POINT (86688.71682282593 163780.73669371847),,,Bombus,
2957,2957,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Colletes,50.78107246,3.47102741,3,GPS,2020,POINT (86690.32611020535 163781.30463428516),,,Other bees,
2958,2958,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Colletes,50.78107246,3.47102741,3,GPS,2020,POINT (86690.32611020535 163781.30463428516),,,Other bees,
2959,2959,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Colletes,50.78107246,3.47102741,3,GPS,2020,POINT (86690.32611020535 163781.30463428516),,,Other bees,
2960,2960,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Colletes,50.78107246,3.47102741,3,GPS,2020,POINT (86690.32611020535 163781.30463428516),,,Other bees,
2961,2961,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Sphecodes,50.78112368,3.47112916,3,GPS,2020,POINT (86697.57024260904 163786.91518448014),,,Other bees,
2962,2962,2020-09-01,p6,Waarmaarde2,sinus,V,Dagvlinders,1,Aricia,50.78120699,3.47134232,3,GPS,2020,POINT (86712.71397351025 163796.00024509337),,,Butterflies,
2963,2963,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Bombus,50.78130003,3.47155421,3,GPS,2020,POINT (86727.78116096373 163806.16870558262),,,Bombus,
2964,2964,2020-09-01,p6,Waarmaarde2,sinus,V,Dagvlinders,1,Polyommatus,50.78130288,3.47163602,3,GPS,2020,POINT (86733.55412039529 163806.4160566358),,,Butterflies,
2965,2965,2020-09-01,p6,Waarmaarde2,sinus,V,Bijen,1,Epeolus,50.78102594,3.47096723,3,GPS,2020,POINT (86686.01975681029 163776.18145807367),,,Other bees,
2981,2981,2020-09-01,p6,Waarmaarde2,blok,V,Dagvlinders,1,Pieris,50.78064758,3.46921675,3,GPS,2020,POINT (86562.06806952102 163735.58917750046),,,Butterflies,
2982,2982,2020-09-01,p6,Waarmaarde2,blok,V,Bijen,1,Sphecodes,50.78046804,3.46928062,3,GPS,2020,POINT (86566.33041328736 163715.56430803612),,,Other bees,
2983,2983,2020-09-01,p6,Waarmaarde2,blok,V,Bijen,1,Colletes,50.78034827,3.46930476,3,GPS,2020,POINT (86567.87150168448 163702.22161065135),,,Other bees,
2984,2984,2020-09-01,p6,Waarmaarde2,blok,V,Bijen,1,Colletes,50.78032304,3.46931993,3,GPS,2020,POINT (86568.9073212811 163699.40231283754),,,Other bees,
2985,2985,2020-09-01,p6,Waarmaarde2,blok,V,Bijen,1,Colletes,50.78032496,3.46930627,3,GPS,2020,POINT (86567.94660180641 163699.62753614038),,,Other bees,
2986,2986,2020-09-01,p6,Waarmaarde2,blok,V,Dagvlinders,1,Polyommatus,50.78029663,3.4693636,3,GPS,2020,POINT (86571.95137738044 163696.42743575107),,,Butterflies,
2987,2987,2020-09-01,p6,Waarmaarde2,blok,V,Bijen,1,Bombus,50.78021642,3.46890586,3,GPS,2020,POINT (86539.56344321955 163687.89644577727),,,Bombus,
2988,2988,2020-09-01,p6,Waarmaarde2,blok,V,Bijen,1,Sphecodes,50.78033125,3.46875834,3,GPS,2020,POINT (86529.31499911542 163700.7950499989),,,Other bees,
2989,2989,2020-09-01,p6,Waarmaarde2,blok,V,Dagvlinders,1,Pieris,50.78039487,3.46869757,3,GPS,2020,POINT (86525.11521119121 163707.9234493915),,,Butterflies,
2990,2990,2020-09-01,p6,Waarmaarde2,blok,V,Dagvlinders,1,Lycaena,50.7804641,3.46863823,3,GPS,2020,POINT (86521.02383740168 163715.67463434394),,,Butterflies,
2991,2991,2020-09-01,p6,Waarmaarde2,blok,V,Bijen,1,Bombus,50.78044726,3.46893537,3,GPS,2020,POINT (86541.95543315427 163713.547716734),,,Bombus,
2992,2992,2020-09-01,p6,Waarmaarde2,blok,V,Dagvlinders,1,Polyommatus,50.78044206,3.46907778,3,GPS,2020,POINT (86551.99117087421 163712.84771155287),,,Butterflies,
3022,3022,2020-09-02,p6,Waarmaarde,sinus,V,Bijen,1,Colletes,50.79406609,3.49372451,3,GPS,2020,POINT (88307.92553423294 165207.5094727641),,,Other bees,
3023,3023,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Lycaena,50.79408101,3.49374605,3,GPS,2020,POINT (88309.4636422637 165209.15116365068),,,Butterflies,
3024,3024,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Aricia,50.79408101,3.49374605,3,GPS,2020,POINT (88309.4636422637 165209.15116365068),,,Butterflies,
3025,3025,2020-09-02,p6,Waarmaarde,sinus,V,Bijen,1,Colletes,50.79408101,3.49374605,3,GPS,2020,POINT (88309.4636422637 165209.15116365068),,,Other bees,
3026,3026,2020-09-02,p6,Waarmaarde,sinus,V,Bijen,1,Lasioglossum,50.79407682,3.49377405,3,GPS,2020,POINT (88311.43214788425 165208.6618592851),,,Other bees,
3027,3027,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Pieris,50.79400792,3.49383683,3,GPS,2020,POINT (88315.76788680548 165200.94589769654),,,Butterflies,
3028,3028,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Pieris,50.79414555,3.49395124,3,GPS,2020,POINT (88324.01400629347 165216.15971712768),,,Butterflies,
3029,3029,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Pieris,50.79414764,3.49383239,3,GPS,2020,POINT (88315.63785709278 165216.4908409249),,,Butterflies,
3030,3030,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Polyommatus,50.79410724,3.49379811,3,GPS,2020,POINT (88313.16821483364 165212.02554668952),,,Butterflies,
3031,3031,2020-09-02,p6,Waarmaarde,sinus,V,Bijen,1,Colletes,50.79416952,3.49389056,3,GPS,2020,POINT (88319.76747711468 165218.87630002014),,,Other bees,
3032,3032,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Lycaena,50.79416952,3.49389056,3,GPS,2020,POINT (88319.76747711468 165218.87630002014),,,Butterflies,
3033,3033,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Aricia,50.79416952,3.49389056,3,GPS,2020,POINT (88319.76747711468 165218.87630002014),,,Butterflies,
3034,3034,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Pieris,50.79419634,3.4939929,3,GPS,2020,POINT (88327.01752971642 165221.77458631247),,,Butterflies,
3035,3035,2020-09-02,p6,Waarmaarde,sinus,V,Bijen,1,Sphecodes,50.79408453,3.49401017,3,GPS,2020,POINT (88328.08865125997 165209.32346485276),,,Other bees,
3036,3036,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Aglais,50.79408688,3.49400497,3,GPS,2020,POINT (88327.72512962643 165209.58917439543),,,Butterflies,
3037,3037,2020-09-02,p6,Waarmaarde,sinus,V,Bijen,1,Halictus,50.79405502,3.49408334,3,GPS,2020,POINT (88333.20848151128 165205.98030153662),,,Other bees,
3038,3038,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Pieris,50.7940334,3.49438492,3,GPS,2020,POINT (88354.4415181648 165203.32525202632),,,Butterflies,
3039,3039,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Pieris,50.79407422,3.49431351,3,GPS,2020,POINT (88349.46055605225 165207.92496213596),,,Butterflies,
3040,3040,2020-09-02,p6,Waarmaarde,sinus,V,Bijen,1,Bombus,50.79403357,3.49460134,3,GPS,2020,POINT (88369.6993182351 165203.16464758385),,,Bombus,
3041,3041,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Pyronia,50.793936,3.49454175,3,GPS,2020,POINT (88365.37054943468 165192.36121811066),,,Butterflies,
3042,3042,2020-09-02,p6,Waarmaarde,sinus,V,Bijen,1,Colletes,50.79387582,3.49433966,3,GPS,2020,POINT (88351.04443394863 165185.8349473672),,,Other bees,
3043,3043,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Aricia,50.79387582,3.49433966,3,GPS,2020,POINT (88351.04443394863 165185.8349473672),,,Butterflies,
3044,3044,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Lycaena,50.79387582,3.49433966,3,GPS,2020,POINT (88351.04443394863 165185.8349473672),,,Butterflies,
3045,3045,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Lycaena,50.7938376,3.49431485,3,GPS,2020,POINT (88349.24529815893 165181.60426454246),,,Butterflies,
3046,3046,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Issoria,50.79378689,3.49423832,3,GPS,2020,POINT (88343.78353885443 165176.02721325587),,,Butterflies,
3047,3047,2020-09-02,p6,Waarmaarde,sinus,V,Dagvlinders,1,Polyommatus,50.79389359,3.49382468,3,GPS,2020,POINT (88314.76157518013 165188.23889264),,,Butterflies,
3070,3070,2020-09-02,p6,Waarmaarde,blok,V,Dagvlinders,1,Aricia,50.79319186,3.49268692,3,GPS,2020,POINT (88233.62919072989 165111.12955198996),,,Butterflies,
3071,3071,2020-09-02,p6,Waarmaarde,blok,V,Bijen,1,Lasioglossum,50.7931481,3.49276965,3,GPS,2020,POINT (88239.40436436346 165106.19330402557),,,Other bees,
3072,3072,2020-09-02,p6,Waarmaarde,blok,V,Dagvlinders,1,Pieris,50.79314467,3.49258348,3,GPS,2020,POINT (88226.27466545269 165105.966526689),,,Butterflies,
3073,3073,2020-09-02,p6,Waarmaarde,blok,V,Dagvlinders,1,Lycaena,50.79326411,3.49216917,3,GPS,2020,POINT (88197.22205749023 165119.59650075436),,,Butterflies,
3074,3074,2020-09-02,p6,Waarmaarde,blok,V,Bijen,1,Lasioglossum,50.79336897,3.4920162,3,GPS,2020,POINT (88186.57514246835 165131.38745914958),,,Other bees,
3075,3075,2020-09-02,p6,Waarmaarde,blok,V,Bijen,1,Colletes,50.79339998,3.49204369,3,GPS,2020,POINT (88188.55390650316 165134.81387794577),,,Other bees,
3076,3076,2020-09-02,p6,Waarmaarde,blok,V,Bijen,1,Sphecodes,50.79341205,3.49206657,3,GPS,2020,POINT (88190.1828040388 165136.137409403),,,Other bees,
3077,3077,2020-09-02,p6,Waarmaarde,blok,V,Bijen,1,Lasioglossum,50.79344139,3.49214871,3,GPS,2020,POINT (88196.0122362851 165139.3326190235),,,Other bees,
3078,3078,2020-09-02,p6,Waarmaarde,blok,V,Dagvlinders,1,Pieris,50.79342152,3.49226975,3,GPS,2020,POINT (88204.51957239365 165137.02178838477),,,Butterflies,
3079,3079,2020-09-02,p6,Waarmaarde,blok,V,Dagvlinders,1,Pieris,50.79344239,3.49250201,3,GPS,2020,POINT (88220.92144985832 165139.15006797388),,,Butterflies,
3080,3080,2020-09-02,p6,Waarmaarde,blok,V,Bijen,1,Colletes,50.79349478,3.49241241,3,GPS,2020,POINT (88214.67331202235 165145.0519757839),,,Other bees,
3081,3081,2020-09-02,p6,Waarmaarde,blok,V,Bijen,1,Colletes,50.79348614,3.49241576,3,GPS,2020,POINT (88214.89815509858 165144.08815108705),,,Other bees,
3082,3082,2020-09-02,p6,Waarmaarde,blok,V,Dagvlinders,1,Lycaena,50.79348614,3.49241576,3,GPS,2020,POINT (88214.89815509858 165144.08815108705),,,Butterflies,
3083,3083,2020-09-02,p6,Waarmaarde,blok,V,Dagvlinders,1,Aricia,50.79348614,3.49241576,3,GPS,2020,POINT (88214.89815509858 165144.08815108705),,,Butterflies,
3084,3084,2020-09-02,p6,Waarmaarde,blok,V,Dagvlinders,1,Polyommatus,50.79349075,3.49241308,3,GPS,2020,POINT (88214.71526083216 165144.60315615032),,,Butterflies,
3085,3085,2020-09-02,p6,Waarmaarde,blok,V,Dagvlinders,1,Pieris,50.79344155,3.49264199,3,GPS,2020,POINT (88230.7890382 165138.940267656),,,Butterflies,
3131,3131,2020-09-07,p6,Muziekbos,sinus,V,Dagvlinders,1,Aricia,50.76828855,3.65524697,3,GPS,2020,POINT (99667.83518855038 162218.46932572685),,,Butterflies,
3132,3132,2020-09-07,p6,Muziekbos,sinus,V,Dagvlinders,1,Polyommatus,50.76829081,3.6551769,3,GPS,2020,POINT (99662.89486093602 162218.76816718653),,,Butterflies,
3133,3133,2020-09-07,p6,Muziekbos,sinus,V,Bijen,1,Bombus,50.76831118,3.65519626,3,GPS,2020,POINT (99664.28227037971 162221.02087752335),,,Bombus,
3134,3134,2020-09-07,p6,Muziekbos,sinus,V,Bijen,1,Anthidiellum,50.76834991,3.65513926,3,GPS,2020,POINT (99660.30285457722 162225.36754801404),,,Other bees,
3135,3135,2020-09-07,p6,Muziekbos,sinus,V,Bijen,1,Bombus,50.76841906,3.65521059,3,GPS,2020,POINT (99665.40831703256 162233.01102039777),,,Bombus,
3136,3136,2020-09-07,p6,Muziekbos,sinus,V,Bijen,1,Bombus,50.76841906,3.65521059,3,GPS,2020,POINT (99665.40831703256 162233.01102039777),,,Bombus,
3137,3137,2020-09-07,p6,Muziekbos,sinus,V,Dagvlinders,1,Pieris,50.76841478,3.65522685,3,GPS,2020,POINT (99666.55072442081 162232.52393010072),,,Butterflies,
3138,3138,2020-09-07,p6,Muziekbos,sinus,V,Bijen,1,Colletes,50.76840204,3.65517581,3,GPS,2020,POINT (99662.93676387948 162231.14138467424),,,Other bees,
3139,3139,2020-09-07,p6,Muziekbos,sinus,V,Bijen,1,Bombus,50.7684209,3.65515175,3,GPS,2020,POINT (99661.2597172094 162233.2555400841),,,Bombus,
3140,3140,2020-09-07,p6,Muziekbos,sinus,V,Bijen,1,Bombus,50.76845585,3.65507824,3,GPS,2020,POINT (99656.111663897 162237.1929342961),,,Bombus,
3141,3141,2020-09-07,p6,Muziekbos,sinus,V,Bijen,1,Bombus,50.76849642,3.65514438,3,GPS,2020,POINT (99660.82049604018 162241.6608703211),,,Bombus,
3142,3142,2020-09-07,p6,Muziekbos,sinus,V,Dagvlinders,1,Aricia,50.76831629,3.65544319,3,GPS,2020,POINT (99681.70617194475 162221.42207411863),,,Butterflies,
3143,3143,2020-09-07,p6,Muziekbos,sinus,V,Dagvlinders,1,Polyommatus,50.76830741,3.65537848,3,GPS,2020,POINT (99677.13204695084 162220.47813441325),,,Butterflies,
3144,3144,2020-09-07,p6,Muziekbos,sinus,V,Dagvlinders,1,Polyommatus,50.76828704,3.65539776,3,GPS,2020,POINT (99678.47031057418 162218.19925822224),,,Butterflies,
3145,3145,2020-09-07,p6,Muziekbos,sinus,V,Dagvlinders,1,Aglais,50.76824346,3.65542383,3,GPS,2020,POINT (99680.26276331858 162213.33406050038),,,Butterflies,
