Part,Site,Locatie,Datum,x_index,y_index,freq,average power
mow,blok,Muziekbos,20220617,9,9,1.25-2.5,0.0017303771572513178
mow,blok,Muziekbos,20220617,9,10,1.25-2.5,0.0007052548198433189
mow,blok,Muziekbos,20220617,9,11,1.25-2.5,0.0011823622024420535
mow,blok,Muziekbos,20220617,9,12,1.25-2.5,0.00349150492039038
mow,blok,Muziekbos,20220617,9,13,1.25-2.5,0.0036690580261337174
mow,blok,Muziekbos,20220617,9,14,1.25-2.5,0.006641006353018166
mow,blok,Muziekbos,20220617,9,15,1.25-2.5,0.0019095906010874503
mow,blok,Muziekbos,20220617,9,16,1.25-2.5,0.0025588698264880057
mow,blok,Muziekbos,20220617,9,17,1.25-2.5,0.005053360442737321
mow,blok,Muziekbos,20220617,9,18,1.25-2.5,0.0035099424334950656
mow,blok,Muziekbos,20220617,9,19,1.25-2.5,0.0016378972830472295
mow,blok,Muziekbos,20220617,9,20,1.25-2.5,0.006833407609334914
mow,blok,Muziekbos,20220617,9,21,1.25-2.5,0.0023962901188777043
mow,blok,Muziekbos,20220617,9,22,1.25-2.5,0.0024753510410135443
mow,blok,Muziekbos,20220617,10,9,1.25-2.5,0.006917519455467348
mow,blok,Muziekbos,20220617,10,10,1.25-2.5,0.00789312013935098
mow,blok,Muziekbos,20220617,10,11,1.25-2.5,0.007867427033422154
mow,blok,Muziekbos,20220617,10,12,1.25-2.5,0.006589631472989951
mow,blok,Muziekbos,20220617,10,13,1.25-2.5,0.006556023089757888
mow,blok,Muziekbos,20220617,10,14,1.25-2.5,0.008573094342416262
mow,blok,Muziekbos,20220617,10,15,1.25-2.5,0.0071543897671021515
mow,blok,Muziekbos,20220617,10,16,1.25-2.5,0.0059147118077133645
mow,blok,Muziekbos,20220617,10,17,1.25-2.5,0.004827151437461515
mow,blok,Muziekbos,20220617,10,18,1.25-2.5,0.00714295316965152
mow,blok,Muziekbos,20220617,10,19,1.25-2.5,0.0034561046478631613
mow,blok,Muziekbos,20220617,10,20,1.25-2.5,0.004754415394820811
mow,blok,Muziekbos,20220617,10,21,1.25-2.5,0.0032533922395506106
mow,blok,Muziekbos,20220617,10,22,1.25-2.5,0.004395390693402235
mow,blok,Muziekbos,20220617,11,10,1.25-2.5,0.00447430970507624
mow,blok,Muziekbos,20220617,11,11,1.25-2.5,0.005986061990955771
mow,blok,Muziekbos,20220617,11,12,1.25-2.5,0.0062053155510019865
mow,blok,Muziekbos,20220617,11,13,1.25-2.5,0.010193406757497008
mow,blok,Muziekbos,20220617,11,14,1.25-2.5,0.013638350735733282
mow,blok,Muziekbos,20220617,11,15,1.25-2.5,0.004706989654572138
mow,blok,Muziekbos,20220617,11,16,1.25-2.5,0.0042671541956476955
mow,blok,Muziekbos,20220617,11,17,1.25-2.5,0.003398496843440271
mow,blok,Muziekbos,20220617,11,18,1.25-2.5,0.02953623946174319
mow,blok,Muziekbos,20220617,11,19,1.25-2.5,0.00652867658432825
mow,blok,Muziekbos,20220617,11,20,1.25-2.5,0.0026128305088390005
mow,blok,Muziekbos,20220617,11,21,1.25-2.5,0.004824837915825121
mow,blok,Muziekbos,20220617,11,22,1.25-2.5,0.006244780978400668
mow,blok,Muziekbos,20220617,12,10,1.25-2.5,0.0020404679583502817
mow,blok,Muziekbos,20220617,12,11,1.25-2.5,0.003356948706097814
mow,blok,Muziekbos,20220617,12,12,1.25-2.5,0.005744243210012262
mow,blok,Muziekbos,20220617,12,13,1.25-2.5,0.0029925574733938648
mow,blok,Muziekbos,20220617,12,14,1.25-2.5,0.0041164749152176865
mow,blok,Muziekbos,20220617,12,15,1.25-2.5,0.0026948028483313002
mow,blok,Muziekbos,20220617,12,16,1.25-2.5,0.0033728641869027022
mow,blok,Muziekbos,20220617,12,17,1.25-2.5,0.005048871501620277
mow,blok,Muziekbos,20220617,12,18,1.25-2.5,0.018746445995944362
mow,blok,Muziekbos,20220617,12,19,1.25-2.5,0.007175424771431164
mow,blok,Muziekbos,20220617,12,20,1.25-2.5,0.005972082601004825
mow,blok,Muziekbos,20220617,12,21,1.25-2.5,0.0034534711465413195
mow,blok,Muziekbos,20220617,12,22,1.25-2.5,0.01225101385361109
mow,blok,Muziekbos,20220617,12,23,1.25-2.5,0.0025553867172250105
mow,blok,Muziekbos,20220617,13,11,1.25-2.5,0.004458527665038209
mow,blok,Muziekbos,20220617,13,12,1.25-2.5,0.004524145298626595
mow,blok,Muziekbos,20220617,13,13,1.25-2.5,0.002429640365369392
mow,blok,Muziekbos,20220617,13,14,1.25-2.5,0.006994207800129356
mow,blok,Muziekbos,20220617,13,15,1.25-2.5,0.0020520997547603154
mow,blok,Muziekbos,20220617,13,16,1.25-2.5,0.006610000311355768
mow,blok,Muziekbos,20220617,13,17,1.25-2.5,0.0028209307366039924
mow,blok,Muziekbos,20220617,13,18,1.25-2.5,0.016834791701434655
mow,blok,Muziekbos,20220617,13,19,1.25-2.5,0.0047399969034261635
mow,blok,Muziekbos,20220617,13,20,1.25-2.5,0.004322771086837306
mow,blok,Muziekbos,20220617,13,21,1.25-2.5,0.0020178160981420596
mow,blok,Muziekbos,20220617,13,22,1.25-2.5,0.004362571439542971
mow,blok,Muziekbos,20220617,13,23,1.25-2.5,0.004715656389445414
mow,blok,Muziekbos,20220617,14,11,1.25-2.5,0.007051441085922134
mow,blok,Muziekbos,20220617,14,12,1.25-2.5,0.003019158512284428
mow,blok,Muziekbos,20220617,14,13,1.25-2.5,0.0035028062805984956
mow,blok,Muziekbos,20220617,14,14,1.25-2.5,0.003164932333228194
mow,blok,Muziekbos,20220617,14,15,1.25-2.5,0.0039055347109174395
mow,blok,Muziekbos,20220617,14,16,1.25-2.5,0.008841833345817797
mow,blok,Muziekbos,20220617,14,17,1.25-2.5,0.0020020241837401488
mow,blok,Muziekbos,20220617,14,18,1.25-2.5,0.0047849897988192685
mow,blok,Muziekbos,20220617,14,19,1.25-2.5,0.0016102896120164779
mow,blok,Muziekbos,20220617,14,20,1.25-2.5,0.003078314952361278
mow,blok,Muziekbos,20220617,14,21,1.25-2.5,0.004110886917247638
mow,blok,Muziekbos,20220617,14,22,1.25-2.5,0.003474324438677523
mow,blok,Muziekbos,20220617,14,23,1.25-2.5,0.004978691186660376
mow,blok,Muziekbos,20220617,14,24,1.25-2.5,0.0025581551487351356
mow,blok,Muziekbos,20220617,15,12,1.25-2.5,0.009543962964922676
mow,blok,Muziekbos,20220617,15,13,1.25-2.5,0.0028441787321806513
mow,blok,Muziekbos,20220617,15,14,1.25-2.5,0.0020929497091364472
mow,blok,Muziekbos,20220617,15,15,1.25-2.5,0.0045948640338746545
mow,blok,Muziekbos,20220617,15,16,1.25-2.5,0.006786296806691132
mow,blok,Muziekbos,20220617,15,17,1.25-2.5,0.003717095518445635
mow,blok,Muziekbos,20220617,15,18,1.25-2.5,0.003260759079095089
mow,blok,Muziekbos,20220617,15,19,1.25-2.5,0.0020437651330774483
mow,blok,Muziekbos,20220617,15,20,1.25-2.5,0.005412120079938626
mow,blok,Muziekbos,20220617,15,21,1.25-2.5,0.0037233639930511686
mow,blok,Muziekbos,20220617,15,22,1.25-2.5,0.004495944120945074
mow,blok,Muziekbos,20220617,15,23,1.25-2.5,0.004996283537858017
